item_id,sentence_type,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
1,IC,Anna scolded the chef of the aristocrats who ___ routinely letting food go to waste.,"1) was, 2) were","1) were, 2) was","Sentence: Anna scolded the chef of the aristocrats who ___ routinely letting food go to waste. Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ routinely letting food go to waste. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-7.89631e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-7.89631e-07), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-15.148694), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-15.166463), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.088875), TopLogprob(token='2', bytes=[50], logprob=-16.471048)])]"
1,nonIC,Anna studied with the chef of the aristocrats who ___ routinely letting food go to waste.,"1) was, 2) were","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ routinely letting food go to waste. Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ routinely letting food go to waste. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-3.3809047e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-3.3809047e-05), TopLogprob(token='2', bytes=[50], logprob=-10.3268385), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-14.404832), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-15.444884), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.800866)])]"
2,IC,John stared at the teacher of the second graders who ___ definitely smartest in the school.,"1) was, 2) were","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ definitely smartest in the school. Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ definitely smartest in the school. Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.40595308, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.40595308), TopLogprob(token='1', bytes=[49], logprob=-1.0976378), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.179127), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-16.357405), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-16.754425)])]"
2,nonIC,John lived next to the teacher of the second graders who ___ definitely smartest in the school.,"1) was, 2) were","1) were, 2) was","Sentence: John lived next to the teacher of the second graders who ___ definitely smartest in the school. Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ definitely smartest in the school. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.0587389, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.0587389), TopLogprob(token='2', bytes=[50], logprob=-2.8638842), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.883835), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-16.924097), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.322716)])]"
3,IC,Jenny assisted the maid of the executives who ___ regularly late to work.,"1) was, 2) were","1) were, 2) was","Sentence: Jenny assisted the maid of the executives who ___ regularly late to work. Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ regularly late to work. Options: 1) were, 2) was. Answer: ","1) was, 2) were",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0070249694, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0070249694), TopLogprob(token='1', bytes=[49], logprob=-4.961855), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.048433), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-16.264463), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-16.569769)])]"
3,nonIC,Jenny joked with the maid of the executives who were regularly late to work.,"1) was, 2) were","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who were regularly late to work. Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who were regularly late to work. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1) were,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.0009911301, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.0009911301), TopLogprob(token='2', bytes=[50], logprob=-6.91777), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.209983), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-15.468621), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-15.743709)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.6874811, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.6874811), TopLogprob(token='<|end|>', bytes=None, logprob=-0.69894046), TopLogprob(token='\n', bytes=[10], logprob=-10.094753), TopLogprob(token='.', bytes=[46], logprob=-12.048244), TopLogprob(token=')\n', bytes=[41, 10], logprob=-16.924097)]), ChatCompletionTokenLogprob(token=' were', bytes=[32, 119, 101, 114, 101], logprob=-4.3202e-07, top_logprobs=[TopLogprob(token=' were', bytes=[32, 119, 101, 114, 101], logprob=-4.3202e-07), TopLogprob(token=' Were', bytes=[32, 87, 101, 114, 101], logprob=-14.937101), TopLogprob(token='were', bytes=[119, 101, 114, 101], logprob=-16.676975), TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-18.16405), TopLogprob(token='<|end|>', bytes=None, logprob=-19.248962)])]"
4,IC,Nick trusted the captain of the sailors who ___ consistently weathered big storms.,"1) has, 2) have","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ consistently weathered big storms. Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ consistently weathered big storms. Options: 1) have, 2) has. Answer: ","1) has, 2) have",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.9816675e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.9816675e-06), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-13.52359), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-14.795431), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.679083), TopLogprob(token='2', bytes=[50], logprob=-16.00878)])]"
4,nonIC,Nick stood near the captain of the sailors who ___ consistently weathered big storms.,"1) has, 2) have","1) have, 2) has","Sentence: Nick stood near the captain of the sailors who ___ consistently weathered big storms. Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ consistently weathered big storms. Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-7.9418505e-06, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-7.9418505e-06), TopLogprob(token='1', bytes=[49], logprob=-11.888025), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-14.773762), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.826073), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-15.550282)])]"
5,IC,Angela corrected the secretary of the lawyers who ___ occasionally made small mistakes.,"1) has, 2) have","1) have, 2) has","Sentence: Angela corrected the secretary of the lawyers who ___ occasionally made small mistakes. Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ occasionally made small mistakes. Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-2.9636918e-05, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-2.9636918e-05), TopLogprob(token='1', bytes=[49], logprob=-10.477359), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-14.19675), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.766318), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-14.895446)])]"
5,nonIC,Angela gossiped with the secretary of the lawyers who ___ occasionally made small mistakes.,"1) has, 2) have","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ occasionally made small mistakes. Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ occasionally made small mistakes. Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-9.293406e-05, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-9.293406e-05), TopLogprob(token='1', bytes=[49], logprob=-9.304505), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-14.209558), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-14.269185), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.708804)])]"
6,IC,Bob comforted the leader of the activists who ___ deeply disappointed by the court's decision.,"1) was, 2) were","1) were, 2) was","Sentence: Bob comforted the leader of the activists who ___ deeply disappointed by the court's decision. Options: 1) was, 2) were. Answer: ","Sentence: Bob comforted the leader of the activists who ___ deeply disappointed by the court's decision. Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0006072447, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0006072447), TopLogprob(token='1', bytes=[49], logprob=-7.4077363), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.312198), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-16.251354), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-16.298195)])]"
6,nonIC,Bob greeted the leader of the activists who ___ deeply disappointed by the court's decision.,"1) was, 2) were","1) were, 2) was","Sentence: Bob greeted the leader of the activists who ___ deeply disappointed by the court's decision. Options: 1) was, 2) were. Answer: ","Sentence: Bob greeted the leader of the activists who ___ deeply disappointed by the court's decision. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.16461024, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.16461024), TopLogprob(token='2', bytes=[50], logprob=-1.8853554), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.0721), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-15.733431), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-15.795952)])]"
