item_id,sentence_type,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
1,IC,Anna scolded the chef of the aristocrats who ___ routinely letting food go to waste.,"1) was, 2) were","1) were, 2) was","Sentence: Anna scolded the chef of the aristocrats who ___ routinely letting food go to waste. Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ routinely letting food go to waste. Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.116513364, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.116513364), TopLogprob(token='1', bytes=[49], logprob=-2.2415133), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-5.7415133), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-8.241513), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-8.491513)])]"
1,nonIC,Anna studied with the chef of the aristocrats who ___ routinely letting food go to waste.,"1) was, 2) were","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ routinely letting food go to waste. Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ routinely letting food go to waste. Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.00829458, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.00829458), TopLogprob(token='2', bytes=[50], logprob=-5.5082946), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-6.2582946), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-6.5082946), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-7.1332946)])]"
2,IC,John stared at the teacher of the second graders who ___ definitely smartest in the school.,"1) was, 2) were","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ definitely smartest in the school. Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ definitely smartest in the school. Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0026492632, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0026492632), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-6.5026493), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-7.1276493), TopLogprob(token='1', bytes=[49], logprob=-8.502649), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-8.877649)])]"
2,nonIC,John lived next to the teacher of the second graders who ___ definitely smartest in the school.,"1) was, 2) were","1) were, 2) was","Sentence: John lived next to the teacher of the second graders who ___ definitely smartest in the school. Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ definitely smartest in the school. Options: 1) were, 2) was. Answer: ","1) were, 2) was",2) was,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0013845207, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0013845207), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-7.2513847), TopLogprob(token='1', bytes=[49], logprob=-7.5013847), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-9.376385), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.251385)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.27518007, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.27518007), TopLogprob(token='<|end|>', bytes=None, logprob=-1.5251801), TopLogprob(token='.', bytes=[46], logprob=-3.77518), TopLogprob(token=').', bytes=[41, 46], logprob=-11.02518), TopLogprob(token='<|end|>', bytes=None, logprob=-11.52518)]), ChatCompletionTokenLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-4.723352e-06, top_logprobs=[TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-4.723352e-06), TopLogprob(token=' Was', bytes=[32, 87, 97, 115], logprob=-12.375005), TopLogprob(token=' ', bytes=[32], logprob=-14.625005), TopLogprob(token='\xa0', bytes=[194, 160], logprob=-17.750004), TopLogprob(token='was', bytes=[119, 97, 115], logprob=-18.125004)])]"
3,IC,Jenny assisted the maid of the executives who ___ regularly late to work.,"1) was, 2) were","1) were, 2) was","Sentence: Jenny assisted the maid of the executives who ___ regularly late to work. Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ regularly late to work. Options: 1) were, 2) was. Answer: ","1) was, 2) were",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.4872781, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.4872781), TopLogprob(token='1', bytes=[49], logprob=-0.9872781), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-5.362278), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-5.362278), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-5.612278)])]"
3,nonIC,Jenny joked with the maid of the executives who were regularly late to work.,"1) was, 2) were","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who were regularly late to work. Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who were regularly late to work. Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.059634365, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.059634365), TopLogprob(token='2', bytes=[50], logprob=-2.9346344), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-5.809634), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-7.059634), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-7.059634)])]"
4,IC,Nick trusted the captain of the sailors who ___ consistently weathered big storms.,"1) has, 2) have","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ consistently weathered big storms. Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ consistently weathered big storms. Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.5807568, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.5807568), TopLogprob(token='1', bytes=[49], logprob=-0.8307568), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-5.4557567), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-7.9557567), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-8.830757)])]"
4,nonIC,Nick stood near the captain of the sailors who ___ consistently weathered big storms.,"1) has, 2) have","1) have, 2) has","Sentence: Nick stood near the captain of the sailors who ___ consistently weathered big storms. Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ consistently weathered big storms. Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.00043114604, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.00043114604), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-8.250431), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-9.250431), TopLogprob(token='1', bytes=[49], logprob=-10.000431), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.500431)])]"
5,IC,Angela corrected the secretary of the lawyers who ___ occasionally made small mistakes.,"1) has, 2) have","1) have, 2) has","Sentence: Angela corrected the secretary of the lawyers who ___ occasionally made small mistakes. Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ occasionally made small mistakes. Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.11078133, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.11078133), TopLogprob(token='1', bytes=[49], logprob=-2.8607814), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-3.3607814), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-4.735781), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-5.485781)])]"
5,nonIC,Angela gossiped with the secretary of the lawyers who ___ occasionally made small mistakes.,"1) has, 2) have","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ occasionally made small mistakes. Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ occasionally made small mistakes. Options: 1) have, 2) has. Answer: ","1) have, 2) has",2) has,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0015629466, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0015629466), TopLogprob(token='1', bytes=[49], logprob=-6.876563), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-7.626563), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.501563), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.251563)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.58624965, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.58624965), TopLogprob(token='<|end|>', bytes=None, logprob=-0.83624965), TopLogprob(token='.', bytes=[46], logprob=-4.58625), TopLogprob(token='<|end|>', bytes=None, logprob=-10.336249), TopLogprob(token=').', bytes=[41, 46], logprob=-11.586249)]), ChatCompletionTokenLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-2.220075e-06, top_logprobs=[TopLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-2.220075e-06), TopLogprob(token='\thas', bytes=[9, 104, 97, 115], logprob=-13.750002), TopLogprob(token=' ', bytes=[32], logprob=-14.250002), TopLogprob(token='has', bytes=[104, 97, 115], logprob=-15.375002), TopLogprob(token=' Has', bytes=[32, 72, 97, 115], logprob=-16.125002)])]"
