item_id,sentence_type,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
1,IC,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",Answer: 1) was,"[ChatCompletionTokenLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-0.32241732, top_logprobs=[TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-0.32241732), TopLogprob(token='1', bytes=[49], logprob=-2.1047049), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.758685), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.983552), TopLogprob(token='2', bytes=[50], logprob=-3.318715)]), ChatCompletionTokenLogprob(token=':', bytes=[58], logprob=-7.465036e-06, top_logprobs=[TopLogprob(token=':', bytes=[58], logprob=-7.465036e-06), TopLogprob(token=' ', bytes=[32], logprob=-11.918558), TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-14.583321), TopLogprob(token=' :', bytes=[32, 58], logprob=-15.43478), TopLogprob(token=' options', bytes=[32, 111, 112, 116, 105, 111, 110, 115], logprob=-16.876402)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.00024667746, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.00024667746), TopLogprob(token=' \n\n', bytes=[32, 10, 10], logprob=-8.834601), TopLogprob(token=' \n', bytes=[32, 10], logprob=-10.805963), TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-10.874629), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-11.117257)]), ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.0027984607, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.0027984607), TopLogprob(token='2', bytes=[50], logprob=-5.9325566), TopLogprob(token=' ', bytes=[32], logprob=-8.88085), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-13.473692), TopLogprob(token=' ""', bytes=[32, 34], logprob=-14.154753)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.022102933, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.022102933), TopLogprob(token='<|end|>', bytes=None, logprob=-3.8795762), TopLogprob(token='.', bytes=[46], logprob=-7.408171), TopLogprob(token=' (', bytes=[32, 40], logprob=-7.5699487), TopLogprob(token=' -', bytes=[32, 45], logprob=-10.538673)]), ChatCompletionTokenLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-0.00014823723, top_logprobs=[TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-0.00014823723), TopLogprob(token=' Anna', bytes=[32, 65, 110, 110, 97], logprob=-9.472625), TopLogprob(token=' ', bytes=[32], logprob=-10.129342), TopLogprob(token=' ""', bytes=[32, 34], logprob=-10.710635), TopLogprob(token=' were', bytes=[32, 119, 101, 114, 101], logprob=-12.810401)])]"
1,nonIC,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.5573542, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.5573542), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.854603), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.9721186), TopLogprob(token='1', bytes=[49], logprob=-2.5902827), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.987923)])]"
2,IC,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",Answer: 1) was,"[ChatCompletionTokenLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-0.5608913, top_logprobs=[TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-0.5608913), TopLogprob(token='1', bytes=[49], logprob=-1.4016811), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.1455736), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.9374857), TopLogprob(token='2', bytes=[50], logprob=-4.5357656)]), ChatCompletionTokenLogprob(token=':', bytes=[58], logprob=-9.253091e-06, top_logprobs=[TopLogprob(token=':', bytes=[58], logprob=-9.253091e-06), TopLogprob(token=' ', bytes=[32], logprob=-11.716419), TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-14.706421), TopLogprob(token=' :', bytes=[32, 58], logprob=-15.041784), TopLogprob(token=':\n', bytes=[58, 10], logprob=-16.578487)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.00057376316, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.00057376316), TopLogprob(token=' \n\n', bytes=[32, 10, 10], logprob=-8.032703), TopLogprob(token=' \n', bytes=[32, 10], logprob=-9.290285), TopLogprob(token=' Option', bytes=[32, 79, 112, 116, 105, 111, 110], logprob=-10.072449), TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-10.191214)]), ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.09198953, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.09198953), TopLogprob(token='2', bytes=[50], logprob=-2.4335136), TopLogprob(token=' ', bytes=[32], logprob=-8.781321), TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-13.650133), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-13.6616535)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.061525352, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.061525352), TopLogprob(token='<|end|>', bytes=None, logprob=-2.8911839), TopLogprob(token='.', bytes=[46], logprob=-6.24123), TopLogprob(token=' (', bytes=[32, 40], logprob=-6.245764), TopLogprob(token=' -', bytes=[32, 45], logprob=-9.038065)]), ChatCompletionTokenLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-0.00049882074, top_logprobs=[TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-0.00049882074), TopLogprob(token=' John', bytes=[32, 74, 111, 104, 110], logprob=-8.044948), TopLogprob(token=' ', bytes=[32], logprob=-9.387416), TopLogprob(token=' ""', bytes=[32, 34], logprob=-9.469514), TopLogprob(token='was', bytes=[119, 97, 115], logprob=-12.372638)])]"
2,nonIC,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.80415606, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.80415606), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.1327465), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.8951976), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-3.0502307), TopLogprob(token='2', bytes=[50], logprob=-3.5692928)])]"
3,IC,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.454949, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.454949), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.8480154), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-2.3504186), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.4006333), TopLogprob(token='2', bytes=[50], logprob=-4.1775174)])]"
3,nonIC,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.5994601, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.5994601), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.0297046), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-3.019281), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-3.4165378), TopLogprob(token='2', bytes=[50], logprob=-4.6543555)])]"
4,IC,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",The correct answer is 2) have.,"[ChatCompletionTokenLogprob(token='The', bytes=[84, 104, 101], logprob=-1.113173, top_logprobs=[TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.113173), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.364367), TopLogprob(token='1', bytes=[49], logprob=-1.4924836), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-1.9343095), TopLogprob(token='2', bytes=[50], logprob=-3.3936238)]), ChatCompletionTokenLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.0039669126, top_logprobs=[TopLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.0039669126), TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-6.202167), TopLogprob(token=' best', bytes=[32, 98, 101, 115, 116], logprob=-6.5712237), TopLogprob(token=' sentence', bytes=[32, 115, 101, 110, 116, 101, 110, 99, 101], logprob=-7.591495), TopLogprob(token=' missing', bytes=[32, 109, 105, 115, 115, 105, 110, 103], logprob=-11.847555)]), ChatCompletionTokenLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.027706278, top_logprobs=[TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.027706278), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-3.6272967), TopLogprob(token=' Answer', bytes=[32, 65, 110, 115, 119, 101, 114], logprob=-8.1881275), TopLogprob(token=' response', bytes=[32, 114, 101, 115, 112, 111, 110, 115, 101], logprob=-8.330563), TopLogprob(token=' choice', bytes=[32, 99, 104, 111, 105, 99, 101], logprob=-8.945322)]), ChatCompletionTokenLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0010630595, top_logprobs=[TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0010630595), TopLogprob(token=' would', bytes=[32, 119, 111, 117, 108, 100], logprob=-7.4262795), TopLogprob(token=' in', bytes=[32, 105, 110], logprob=-8.66355), TopLogprob(token=' to', bytes=[32, 116, 111], logprob=-9.137008), TopLogprob(token=' for', bytes=[32, 102, 111, 114], logprob=-9.52385)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.08477223, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.08477223), TopLogprob(token=':', bytes=[58], logprob=-2.6716957), TopLogprob(token=' ""', bytes=[32, 34], logprob=-5.4472046), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-5.752613), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-6.191885)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.42232636, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.42232636), TopLogprob(token='1', bytes=[49], logprob=-1.0660107), TopLogprob(token=' ', bytes=[32], logprob=-9.489585), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-11.961823), TopLogprob(token='3', bytes=[51], logprob=-12.110131)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-8.9834764e-05, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-8.9834764e-05), TopLogprob(token='.', bytes=[46], logprob=-9.552731), TopLogprob(token=':', bytes=[58], logprob=-11.666546), TopLogprob(token=' -', bytes=[32, 45], logprob=-12.650921), TopLogprob(token=',', bytes=[44], logprob=-13.648014)]), ChatCompletionTokenLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-0.00011450992, top_logprobs=[TopLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-0.00011450992), TopLogprob(token=' ""', bytes=[32, 34], logprob=-9.317305), TopLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-11.859968), TopLogprob(token=' ', bytes=[32], logprob=-12.003225), TopLogprob(token=' Have', bytes=[32, 72, 97, 118, 101], logprob=-12.679701)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.014795026, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.014795026), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-4.511581), TopLogprob(token='.\n', bytes=[46, 10], logprob=-5.6802955), TopLogprob(token=' -', bytes=[32, 45], logprob=-8.873814), TopLogprob(token=',', bytes=[44], logprob=-10.027834)])]"
4,nonIC,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.0604488, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.0604488), TopLogprob(token='1', bytes=[49], logprob=-1.250455), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.8772556), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.8906623), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.9704866)])]"
5,IC,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",The correct answer is 2) have.,"[ChatCompletionTokenLogprob(token='The', bytes=[84, 104, 101], logprob=-0.87200814, top_logprobs=[TopLogprob(token='The', bytes=[84, 104, 101], logprob=-0.87200814), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.4884765), TopLogprob(token='1', bytes=[49], logprob=-1.9191558), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.0671775), TopLogprob(token='2', bytes=[50], logprob=-2.6414173)]), ChatCompletionTokenLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.004626888, top_logprobs=[TopLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.004626888), TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-5.734428), TopLogprob(token=' best', bytes=[32, 98, 101, 115, 116], logprob=-6.9059253), TopLogprob(token=' sentence', bytes=[32, 115, 101, 110, 116, 101, 110, 99, 101], logprob=-7.9203296), TopLogprob(token=' appropriate', bytes=[32, 97, 112, 112, 114, 111, 112, 114, 105, 97, 116, 101], logprob=-12.631777)]), ChatCompletionTokenLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.039054308, top_logprobs=[TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.039054308), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-3.283317), TopLogprob(token=' response', bytes=[32, 114, 101, 115, 112, 111, 110, 115, 101], logprob=-7.9875464), TopLogprob(token=' Answer', bytes=[32, 65, 110, 115, 119, 101, 114], logprob=-8.567664), TopLogprob(token=' choice', bytes=[32, 99, 104, 111, 105, 99, 101], logprob=-8.801646)]), ChatCompletionTokenLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0013386933, top_logprobs=[TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0013386933), TopLogprob(token=' would', bytes=[32, 119, 111, 117, 108, 100], logprob=-7.223106), TopLogprob(token=' in', bytes=[32, 105, 110], logprob=-8.336374), TopLogprob(token=' based', bytes=[32, 98, 97, 115, 101, 100], logprob=-8.976835), TopLogprob(token=' to', bytes=[32, 116, 111], logprob=-9.004444)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.13838407, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.13838407), TopLogprob(token=':', bytes=[58], logprob=-2.1702006), TopLogprob(token=' ""', bytes=[32, 34], logprob=-5.358732), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-5.714527), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-5.741581)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.36331084, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.36331084), TopLogprob(token='1', bytes=[49], logprob=-1.1888018), TopLogprob(token=' ', bytes=[32], logprob=-10.274022), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-13.139007), TopLogprob(token='3', bytes=[51], logprob=-13.3142805)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.00021664912, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.00021664912), TopLogprob(token='.', bytes=[46], logprob=-8.665544), TopLogprob(token=':', bytes=[58], logprob=-10.656554), TopLogprob(token=' -', bytes=[32, 45], logprob=-12.005401), TopLogprob(token=',', bytes=[44], logprob=-12.822263)]), ChatCompletionTokenLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-0.0002420395, top_logprobs=[TopLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-0.0002420395), TopLogprob(token=' ""', bytes=[32, 34], logprob=-8.565313), TopLogprob(token=' Have', bytes=[32, 72, 97, 118, 101], logprob=-11.102083), TopLogprob(token=' ', bytes=[32], logprob=-11.533257), TopLogprob(token=' who', bytes=[32, 119, 104, 111], logprob=-11.555353)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.021810213, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.021810213), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-4.088247), TopLogprob(token='.\n', bytes=[46, 10], logprob=-5.413852), TopLogprob(token=' -', bytes=[32, 45], logprob=-8.8371105), TopLogprob(token=',', bytes=[44], logprob=-9.53096)])]"
5,nonIC,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.4596165, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.4596165), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.0638149), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.4084384), TopLogprob(token='1', bytes=[49], logprob=-2.587714), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-3.0513961)])]"
