item_id,sentence_type,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
1,IC,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",The correct answer is 1) were.,"[ChatCompletionTokenLogprob(token='The', bytes=[84, 104, 101], logprob=-1.1424773, top_logprobs=[TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.1424773), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.1856768), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-1.5661032), TopLogprob(token='1', bytes=[49], logprob=-2.1255438), TopLogprob(token='2', bytes=[50], logprob=-3.137892)]), ChatCompletionTokenLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.013235644, top_logprobs=[TopLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.013235644), TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-4.761248), TopLogprob(token=' best', bytes=[32, 98, 101, 115, 116], logprob=-5.5471215), TopLogprob(token=' sentence', bytes=[32, 115, 101, 110, 116, 101, 110, 99, 101], logprob=-7.407725), TopLogprob(token=' missing', bytes=[32, 109, 105, 115, 115, 105, 110, 103], logprob=-10.481517)]), ChatCompletionTokenLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.012852066, top_logprobs=[TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.012852066), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-4.411656), TopLogprob(token=' response', bytes=[32, 114, 101, 115, 112, 111, 110, 115, 101], logprob=-8.094709), TopLogprob(token=' Answer', bytes=[32, 65, 110, 115, 119, 101, 114], logprob=-8.539627), TopLogprob(token=' choice', bytes=[32, 99, 104, 111, 105, 99, 101], logprob=-9.129349)]), ChatCompletionTokenLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0016282868, top_logprobs=[TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0016282868), TopLogprob(token=' would', bytes=[32, 119, 111, 117, 108, 100], logprob=-6.9479175), TopLogprob(token=' in', bytes=[32, 105, 110], logprob=-8.18414), TopLogprob(token=' based', bytes=[32, 98, 97, 115, 101, 100], logprob=-8.82306), TopLogprob(token=' to', bytes=[32, 116, 111], logprob=-9.01567)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.23158763, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.23158763), TopLogprob(token=':', bytes=[58], logprob=-1.6520054), TopLogprob(token=' ""', bytes=[32, 34], logprob=-5.509528), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-5.5906897), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-5.858094)]), ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.057962205, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.057962205), TopLogprob(token='2', bytes=[50], logprob=-2.8777158), TopLogprob(token=' ', bytes=[32], logprob=-10.139088), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-12.08757), TopLogprob(token='3', bytes=[51], logprob=-13.243692)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-6.384837e-05, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-6.384837e-05), TopLogprob(token='.', bytes=[46], logprob=-10.201198), TopLogprob(token=':', bytes=[58], logprob=-11.231833), TopLogprob(token=',', bytes=[44], logprob=-12.837304), TopLogprob(token=' -', bytes=[32, 45], logprob=-12.985791)]), ChatCompletionTokenLogprob(token=' were', bytes=[32, 119, 101, 114, 101], logprob=-0.0036911704, top_logprobs=[TopLogprob(token=' were', bytes=[32, 119, 101, 114, 101], logprob=-0.0036911704), TopLogprob(token=' ""', bytes=[32, 34], logprob=-5.704325), TopLogprob(token=' who', bytes=[32, 119, 104, 111], logprob=-8.786903), TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-9.720737), TopLogprob(token=' ', bytes=[32], logprob=-9.843033)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0026348727, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0026348727), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-6.73326), TopLogprob(token='<|end|>', bytes=None, logprob=-7.514556), TopLogprob(token='.\n', bytes=[46, 10], logprob=-7.600848), TopLogprob(token=',', bytes=[44], logprob=-8.611455)])]"
1,nonIC,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.5944057, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.5944057), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.235765), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.6211448), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.67699), TopLogprob(token='2', bytes=[50], logprob=-4.341251)])]"
2,IC,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.0818788, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.0818788), TopLogprob(token='2', bytes=[50], logprob=-1.1804506), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.9987146), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.261074), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-2.318779)])]"
2,nonIC,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",The correct answer is 1) were.,"[ChatCompletionTokenLogprob(token='The', bytes=[84, 104, 101], logprob=-1.2028338, top_logprobs=[TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.2028338), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.4354979), TopLogprob(token='1', bytes=[49], logprob=-1.6499182), TopLogprob(token='2', bytes=[50], logprob=-1.652783), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.6602387)]), ChatCompletionTokenLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.013852351, top_logprobs=[TopLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.013852351), TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-4.8031282), TopLogprob(token=' best', bytes=[32, 98, 101, 115, 116], logprob=-5.2673388), TopLogprob(token=' sentence', bytes=[32, 115, 101, 110, 116, 101, 110, 99, 101], logprob=-8.099893), TopLogprob(token=' missing', bytes=[32, 109, 105, 115, 115, 105, 110, 103], logprob=-10.271935)]), ChatCompletionTokenLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.00980107, top_logprobs=[TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.00980107), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-4.690915), TopLogprob(token=' response', bytes=[32, 114, 101, 115, 112, 111, 110, 115, 101], logprob=-8.147124), TopLogprob(token=' Answer', bytes=[32, 65, 110, 115, 119, 101, 114], logprob=-8.704387), TopLogprob(token=' choice', bytes=[32, 99, 104, 111, 105, 99, 101], logprob=-9.142991)]), ChatCompletionTokenLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0014327395, top_logprobs=[TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0014327395), TopLogprob(token=' would', bytes=[32, 119, 111, 117, 108, 100], logprob=-7.312762), TopLogprob(token=' in', bytes=[32, 105, 110], logprob=-7.7076917), TopLogprob(token=' to', bytes=[32, 116, 111], logprob=-9.220537), TopLogprob(token=' based', bytes=[32, 98, 97, 115, 101, 100], logprob=-9.314684)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.22114345, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.22114345), TopLogprob(token=':', bytes=[58], logprob=-1.6759508), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-5.7441516), TopLogprob(token=' ""', bytes=[32, 34], logprob=-5.886598), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-6.090015)]), ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.021650286, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.021650286), TopLogprob(token='2', bytes=[50], logprob=-3.8454876), TopLogprob(token=' ', bytes=[32], logprob=-10.23744), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-12.546232), TopLogprob(token='3', bytes=[51], logprob=-14.565866)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-3.917321e-05, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-3.917321e-05), TopLogprob(token='.', bytes=[46], logprob=-10.645665), TopLogprob(token=':', bytes=[58], logprob=-11.843274), TopLogprob(token=',', bytes=[44], logprob=-13.336169), TopLogprob(token=' -', bytes=[32, 45], logprob=-13.420844)]), ChatCompletionTokenLogprob(token=' were', bytes=[32, 119, 101, 114, 101], logprob=-0.0047320104, top_logprobs=[TopLogprob(token=' were', bytes=[32, 119, 101, 114, 101], logprob=-0.0047320104), TopLogprob(token=' ""', bytes=[32, 34], logprob=-5.4481277), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-9.23484), TopLogprob(token=' ', bytes=[32], logprob=-9.277515), TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-9.461382)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.003714927, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.003714927), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-6.1463523), TopLogprob(token='.\n', bytes=[46, 10], logprob=-6.750837), TopLogprob(token='<|end|>', bytes=None, logprob=-8.614799), TopLogprob(token=',', bytes=[44], logprob=-9.196116)])]"
3,IC,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.73162, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.73162), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.641124), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-1.7082455), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-2.0815537), TopLogprob(token='2', bytes=[50], logprob=-4.286626)])]"
3,nonIC,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.5267076, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.5267076), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.0950289), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-3.2631483), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-3.7442904), TopLogprob(token='2', bytes=[50], logprob=-4.570182)])]"
4,IC,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",The correct answer is 1) has.,"[ChatCompletionTokenLogprob(token='The', bytes=[84, 104, 101], logprob=-0.90307415, top_logprobs=[TopLogprob(token='The', bytes=[84, 104, 101], logprob=-0.90307415), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.2840842), TopLogprob(token='1', bytes=[49], logprob=-1.9037722), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-1.9095286), TopLogprob(token='2', bytes=[50], logprob=-4.2698536)]), ChatCompletionTokenLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.0053146356, top_logprobs=[TopLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.0053146356), TopLogprob(token=' best', bytes=[32, 98, 101, 115, 116], logprob=-6.057267), TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-6.154256), TopLogprob(token=' sentence', bytes=[32, 115, 101, 110, 116, 101, 110, 99, 101], logprob=-7.1343927), TopLogprob(token=' appropriate', bytes=[32, 97, 112, 112, 114, 111, 112, 114, 105, 97, 116, 101], logprob=-11.677533)]), ChatCompletionTokenLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.029425168, top_logprobs=[TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.029425168), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-3.5674233), TopLogprob(token=' response', bytes=[32, 114, 101, 115, 112, 111, 110, 115, 101], logprob=-8.236077), TopLogprob(token=' Answer', bytes=[32, 65, 110, 115, 119, 101, 114], logprob=-8.427985), TopLogprob(token=' choice', bytes=[32, 99, 104, 111, 105, 99, 101], logprob=-8.631314)]), ChatCompletionTokenLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0015418807, top_logprobs=[TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0015418807), TopLogprob(token=' would', bytes=[32, 119, 111, 117, 108, 100], logprob=-7.227681), TopLogprob(token=' in', bytes=[32, 105, 110], logprob=-8.1273775), TopLogprob(token=' to', bytes=[32, 116, 111], logprob=-8.524617), TopLogprob(token=' for', bytes=[32, 102, 111, 114], logprob=-8.859275)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.14121754, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.14121754), TopLogprob(token=':', bytes=[58], logprob=-2.1800816), TopLogprob(token=' ""', bytes=[32, 34], logprob=-5.026878), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-5.432468), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-5.5831923)]), ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.638129, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.638129), TopLogprob(token='2', bytes=[50], logprob=-0.7515762), TopLogprob(token=' ', bytes=[32], logprob=-9.534785), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-11.782977), TopLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-12.31898)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-7.481511e-05, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-7.481511e-05), TopLogprob(token='.', bytes=[46], logprob=-9.786358), TopLogprob(token=':', bytes=[58], logprob=-11.87512), TopLogprob(token=',', bytes=[44], logprob=-13.033628), TopLogprob(token=' -', bytes=[32, 45], logprob=-13.084293)]), ChatCompletionTokenLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-0.0006361892, top_logprobs=[TopLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-0.0006361892), TopLogprob(token=' ""', bytes=[32, 34], logprob=-7.554488), TopLogprob(token=' Nick', bytes=[32, 78, 105, 99, 107], logprob=-9.491866), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-11.422549), TopLogprob(token=' ', bytes=[32], logprob=-11.772445)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.002754234, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.002754234), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-6.5931816), TopLogprob(token='.\n', bytes=[46, 10], logprob=-7.100851), TopLogprob(token='<|end|>', bytes=None, logprob=-8.201929), TopLogprob(token=',', bytes=[44], logprob=-9.054893)])]"
4,nonIC,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.949641, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.949641), TopLogprob(token='1', bytes=[49], logprob=-1.339339), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.7817161), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-2.2532947), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-3.0459735)])]"
5,IC,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",The correct answer is 2) have.,"[ChatCompletionTokenLogprob(token='The', bytes=[84, 104, 101], logprob=-1.0588739, top_logprobs=[TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.0588739), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-1.6132066), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.6840112), TopLogprob(token='1', bytes=[49], logprob=-1.9600542), TopLogprob(token='2', bytes=[50], logprob=-2.1663034)]), ChatCompletionTokenLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.009384393, top_logprobs=[TopLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.009384393), TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-5.0667), TopLogprob(token=' best', bytes=[32, 98, 101, 115, 116], logprob=-6.0132217), TopLogprob(token=' sentence', bytes=[32, 115, 101, 110, 116, 101, 110, 99, 101], logprob=-7.5111923), TopLogprob(token=' most', bytes=[32, 109, 111, 115, 116], logprob=-11.696102)]), ChatCompletionTokenLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.042313125, top_logprobs=[TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.042313125), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-3.2077909), TopLogprob(token=' response', bytes=[32, 114, 101, 115, 112, 111, 110, 115, 101], logprob=-8.029616), TopLogprob(token=' Answer', bytes=[32, 65, 110, 115, 119, 101, 114], logprob=-8.122733), TopLogprob(token=' choice', bytes=[32, 99, 104, 111, 105, 99, 101], logprob=-8.590337)]), ChatCompletionTokenLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0013905928, top_logprobs=[TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0013905928), TopLogprob(token=' would', bytes=[32, 119, 111, 117, 108, 100], logprob=-7.2570496), TopLogprob(token=' in', bytes=[32, 105, 110], logprob=-8.137993), TopLogprob(token=' to', bytes=[32, 116, 111], logprob=-8.86541), TopLogprob(token=' based', bytes=[32, 98, 97, 115, 101, 100], logprob=-9.028492)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.108775094, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.108775094), TopLogprob(token=':', bytes=[58], logprob=-2.468398), TopLogprob(token=' ""', bytes=[32, 34], logprob=-4.957406), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-5.3823442), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-5.747302)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.14120089, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.14120089), TopLogprob(token='1', bytes=[49], logprob=-2.0276582), TopLogprob(token=' ', bytes=[32], logprob=-10.271954), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-13.308966), TopLogprob(token='3', bytes=[51], logprob=-13.409149)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.00017338553, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.00017338553), TopLogprob(token='.', bytes=[46], logprob=-8.905882), TopLogprob(token=':', bytes=[58], logprob=-11.100712), TopLogprob(token=' -', bytes=[32, 45], logprob=-11.938755), TopLogprob(token=',', bytes=[44], logprob=-12.590004)]), ChatCompletionTokenLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-0.00014942927, top_logprobs=[TopLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-0.00014942927), TopLogprob(token=' ""', bytes=[32, 34], logprob=-9.124051), TopLogprob(token=' Have', bytes=[32, 72, 97, 118, 101], logprob=-11.332099), TopLogprob(token=' ', bytes=[32], logprob=-11.627488), TopLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-12.143704)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.030021915, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.030021915), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-3.7118342), TopLogprob(token='.\n', bytes=[46, 10], logprob=-5.315644), TopLogprob(token=' -', bytes=[32, 45], logprob=-9.466766), TopLogprob(token=',', bytes=[44], logprob=-9.975349)])]"
5,nonIC,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.3854092, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.3854092), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-2.0543373), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.1459587), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-3.201207), TopLogprob(token='2', bytes=[50], logprob=-3.7771919)])]"
