item_id,sentence_type,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
1,IC,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0006646606, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0006646606), TopLogprob(token='1', bytes=[49], logprob=-7.3169985), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.304631), TopLogprob(token='(', bytes=[40], logprob=-18.603075), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.01362)])]"
1,nonIC,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.5364535, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.5364535), TopLogprob(token='1', bytes=[49], logprob=-0.87904), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.41476), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-19.298483), TopLogprob(token='(', bytes=[40], logprob=-19.988422)])]"
2,IC,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-3.1281633e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-3.1281633e-07), TopLogprob(token='2', bytes=[50], logprob=-15.267239), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-16.767298), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.875614), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.29966)])]"
2,nonIC,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-2.6968896e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-2.6968896e-06), TopLogprob(token='2', bytes=[50], logprob=-12.884408), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.016289), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.238657), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.358438)])]"
3,IC,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.10004425, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.10004425), TopLogprob(token='2', bytes=[50], logprob=-2.3517494), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.645866), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.275017), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.41021)])]"
3,nonIC,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-6.289474e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-6.289474e-05), TopLogprob(token='2', bytes=[50], logprob=-9.6760845), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.258146), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-17.730616), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.368196)])]"
4,IC,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0005138331, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0005138331), TopLogprob(token='1', bytes=[49], logprob=-7.5740767), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.061308), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.797909), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.886591)])]"
4,nonIC,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.00016659092, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.00016659092), TopLogprob(token='1', bytes=[49], logprob=-8.700839), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.60044), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.632387), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.707272)])]"
5,IC,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.03468427, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.03468427), TopLogprob(token='1', bytes=[49], logprob=-3.3787622), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.919369), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-18.947239), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-20.029112)])]"
5,nonIC,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.00027957035, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.00027957035), TopLogprob(token='1', bytes=[49], logprob=-8.1830435), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.484526), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.234625), TopLogprob(token='Have', bytes=[72, 97, 118, 101], logprob=-18.80747)])]"
