item_id,sentence_type,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
1,IC,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-7.89631e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-7.89631e-07), TopLogprob(token='2', bytes=[50], logprob=-14.471841), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.105171), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-16.559866), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.99308)])]"
1,nonIC,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.1514165, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.1514165), TopLogprob(token='2', bytes=[50], logprob=-1.9624746), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.749302), TopLogprob(token='(', bytes=[40], logprob=-20.727835), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-20.777306)])]"
2,IC,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-5.5122365e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-5.5122365e-07), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-15.4682665), TopLogprob(token='2', bytes=[50], logprob=-15.948245), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.46177), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.867546)])]"
2,nonIC,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-4.604148e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-4.604148e-06), TopLogprob(token='2', bytes=[50], logprob=-12.344045), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.25382), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.38638), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.52124)])]"
3,IC,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.10076103, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.10076103), TopLogprob(token='2', bytes=[50], logprob=-2.3449626), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.487434), TopLogprob(token=' ', bytes=[32], logprob=-19.251888), TopLogprob(token='(', bytes=[40], logprob=-19.380829)])]"
3,nonIC,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-6.82589e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-6.82589e-05), TopLogprob(token='2', bytes=[50], logprob=-9.593134), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.467422), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-18.195873), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.002117)])]"
4,IC,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.00042352435, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.00042352435), TopLogprob(token='1', bytes=[49], logprob=-7.767523), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.704733), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.766994), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.928164)])]"
4,nonIC,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.00013667447, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.00013667447), TopLogprob(token='1', bytes=[49], logprob=-8.899419), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.78368), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.363605), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.699373)])]"
5,IC,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0033146, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0033146), TopLogprob(token='1', bytes=[49], logprob=-5.7110667), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.209679), TopLogprob(token='(', bytes=[40], logprob=-19.574043), TopLogprob(token=' ', bytes=[32], logprob=-19.818295)])]"
5,nonIC,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0005776969, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0005776969), TopLogprob(token='1', bytes=[49], logprob=-7.4568424), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.518011), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.27355), TopLogprob(token='(', bytes=[40], logprob=-19.406895)])]"
