item_id,sentence_type,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
1,IC,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.5761656, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.5761656), TopLogprob(token='2', bytes=[50], logprob=-0.8261656), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-8.826165), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.701165), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.951165)])]"
1,nonIC,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.056774344, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.056774344), TopLogprob(token='2', bytes=[50], logprob=-2.9317744), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-6.556774), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-7.806774), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.556774)])]"
2,IC,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",2) was.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.011073411, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.011073411), TopLogprob(token='1', bytes=[49], logprob=-4.5110736), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.386073), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.386073), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-13.386073)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.3875278, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.3875278), TopLogprob(token='<|end|>', bytes=None, logprob=-1.1375278), TopLogprob(token='.', bytes=[46], logprob=-7.387528), TopLogprob(token='<|end|>', bytes=None, logprob=-11.137527), TopLogprob(token=').', bytes=[41, 46], logprob=-11.887527)]), ChatCompletionTokenLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-1.9816675e-06, top_logprobs=[TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-1.9816675e-06), TopLogprob(token=' Was', bytes=[32, 87, 97, 115], logprob=-13.250002), TopLogprob(token=' ', bytes=[32], logprob=-15.500002), TopLogprob(token=' The', bytes=[32, 84, 104, 101], logprob=-19.375002), TopLogprob(token='<|end|>', bytes=None, logprob=-19.750002)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.004079113, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.004079113), TopLogprob(token='<|end|>', bytes=None, logprob=-5.5040793), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-15.254079), TopLogprob(token='.\n', bytes=[46, 10], logprob=-15.504079), TopLogprob(token='.""', bytes=[46, 34], logprob=-15.754079)])]"
2,nonIC,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",2) was.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.089311406, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.089311406), TopLogprob(token='1', bytes=[49], logprob=-2.4643114), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-8.589312), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-8.714312), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.214312)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.5771003, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.5771003), TopLogprob(token='<|end|>', bytes=None, logprob=-0.8271003), TopLogprob(token='.', bytes=[46], logprob=-6.8271003), TopLogprob(token='<|end|>', bytes=None, logprob=-10.577101), TopLogprob(token=').', bytes=[41, 46], logprob=-11.327101)]), ChatCompletionTokenLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-3.7697225e-06, top_logprobs=[TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-3.7697225e-06), TopLogprob(token=' Was', bytes=[32, 87, 97, 115], logprob=-12.750004), TopLogprob(token=' ', bytes=[32], logprob=-14.250004), TopLogprob(token='<|end|>', bytes=None, logprob=-16.500004), TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-18.750004)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0015027176, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0015027176), TopLogprob(token='<|end|>', bytes=None, logprob=-6.5015025), TopLogprob(token='.""', bytes=[46, 34], logprob=-15.751503), TopLogprob(token='.\n', bytes=[46, 10], logprob=-16.501503), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-17.001503)])]"
3,IC,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.1798462, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.1798462), TopLogprob(token='2', bytes=[50], logprob=-1.8048462), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-9.679846), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.054846), TopLogprob(token='Was', bytes=[87, 97, 115], logprob=-12.679846)])]"
3,nonIC,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1) were,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.11314695, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.11314695), TopLogprob(token='2', bytes=[50], logprob=-2.238147), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-8.488147), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.238147), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.488147)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.57826906, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.57826906), TopLogprob(token='<|end|>', bytes=None, logprob=-0.82826906), TopLogprob(token='.', bytes=[46], logprob=-6.078269), TopLogprob(token='<|end|>', bytes=None, logprob=-11.078269), TopLogprob(token=').', bytes=[41, 46], logprob=-12.078269)]), ChatCompletionTokenLogprob(token=' were', bytes=[32, 119, 101, 114, 101], logprob=-3.1737043e-06, top_logprobs=[TopLogprob(token=' were', bytes=[32, 119, 101, 114, 101], logprob=-3.1737043e-06), TopLogprob(token=' Were', bytes=[32, 87, 101, 114, 101], logprob=-12.750003), TopLogprob(token=' ', bytes=[32], logprob=-16.000004), TopLogprob(token='were', bytes=[119, 101, 114, 101], logprob=-17.125004), TopLogprob(token=' wer', bytes=[32, 119, 101, 114], logprob=-18.000004)])]"
4,IC,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",2) have.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.048637442, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.048637442), TopLogprob(token='1', bytes=[49], logprob=-3.0486374), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.548637), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.173637), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-13.048637)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.4750684, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.4750684), TopLogprob(token='<|end|>', bytes=None, logprob=-0.9750684), TopLogprob(token='.', bytes=[46], logprob=-6.9750686), TopLogprob(token='<|end|>', bytes=None, logprob=-10.725068), TopLogprob(token=' (', bytes=[32, 40], logprob=-11.725068)]), ChatCompletionTokenLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-6.704273e-07, top_logprobs=[TopLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-6.704273e-07), TopLogprob(token=' ', bytes=[32], logprob=-14.500001), TopLogprob(token=' Have', bytes=[32, 72, 97, 118, 101], logprob=-16.0), TopLogprob(token=' haben', bytes=[32, 104, 97, 98, 101, 110], logprob=-18.5), TopLogprob(token='<|end|>', bytes=None, logprob=-19.5)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0052347137, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0052347137), TopLogprob(token='<|end|>', bytes=None, logprob=-5.2552347), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-15.005235), TopLogprob(token='.\n', bytes=[46, 10], logprob=-15.005235), TopLogprob(token='<|end|>', bytes=None, logprob=-16.255234)])]"
4,nonIC,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.020558469, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.020558469), TopLogprob(token='1', bytes=[49], logprob=-3.8955584), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.645558), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-12.645558), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.895558)])]"
5,IC,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.20152405, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.20152405), TopLogprob(token='1', bytes=[49], logprob=-1.701524), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.451524), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.076524), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.201524)])]"
5,nonIC,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.17977689, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.17977689), TopLogprob(token='1', bytes=[49], logprob=-1.8047769), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.179777), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.554777), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.929777)])]"
6,IC,Bob comforted the leader of the activists who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Bob comforted the leader of the activists who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Bob comforted the leader of the activists who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.2811714, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.2811714), TopLogprob(token='2', bytes=[50], logprob=-1.4061714), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-12.031172), TopLogprob(token='was', bytes=[119, 97, 115], logprob=-12.156172), TopLogprob(token='""', bytes=[34], logprob=-12.843672)])]"
6,nonIC,Bob greeted the leader of the activists who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Bob greeted the leader of the activists who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Bob greeted the leader of the activists who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.07892349, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.07892349), TopLogprob(token='2', bytes=[50], logprob=-2.5789235), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.828923), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.578923), TopLogprob(token='were', bytes=[119, 101, 114, 101], logprob=-14.203923)])]"
7,IC,Laura envies the manager of the cashiers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Laura envies the manager of the cashiers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Laura envies the manager of the cashiers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.3132893, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.3132893), TopLogprob(token='2', bytes=[50], logprob=-1.3132893), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.18829), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.81329), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.93829)])]"
7,nonIC,Laura knows the manager of the cashiers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Laura knows the manager of the cashiers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Laura knows the manager of the cashiers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.029776642, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.029776642), TopLogprob(token='1', bytes=[49], logprob=-3.5297766), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.154777), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-12.279777), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.279777)])]"
8,IC,Zack valued the daughter of the shopkeepers who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Zack valued the daughter of the shopkeepers who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Zack valued the daughter of the shopkeepers who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.57623243, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.57623243), TopLogprob(token='2', bytes=[50], logprob=-0.82623243), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-8.701233), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.701233), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-10.326233)])]"
