item_id,sentence_type,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
1,IC,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.63301367, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.63301367), TopLogprob(token='2', bytes=[50], logprob=-0.75801367), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-8.383014), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-8.633014), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.633014)])]"
1,nonIC,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.011123274, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.011123274), TopLogprob(token='1', bytes=[49], logprob=-4.511123), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-9.886124), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.136124), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.886124)])]"
2,IC,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",2) was.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.038096692, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.038096692), TopLogprob(token='1', bytes=[49], logprob=-3.2880967), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.663096), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.163096), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.788096)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.38793936, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.38793936), TopLogprob(token='<|end|>', bytes=None, logprob=-1.1379393), TopLogprob(token='.', bytes=[46], logprob=-6.8879395), TopLogprob(token='<|end|>', bytes=None, logprob=-10.887939), TopLogprob(token=').', bytes=[41, 46], logprob=-11.637939)]), ChatCompletionTokenLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-1.0280384e-06, top_logprobs=[TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-1.0280384e-06), TopLogprob(token=' Was', bytes=[32, 87, 97, 115], logprob=-14.000001), TopLogprob(token=' ', bytes=[32], logprob=-16.000002), TopLogprob(token=' The', bytes=[32, 84, 104, 101], logprob=-18.750002), TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-20.000002)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0019291093, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0019291093), TopLogprob(token='<|end|>', bytes=None, logprob=-6.2519293), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-15.501929), TopLogprob(token='.\n', bytes=[46, 10], logprob=-15.501929), TopLogprob(token='.""', bytes=[46, 34], logprob=-16.501928)])]"
2,nonIC,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.08901253, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.08901253), TopLogprob(token='1', bytes=[49], logprob=-2.4640126), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.214012), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.589012), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.714012)])]"
3,IC,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.17985845, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.17985845), TopLogprob(token='2', bytes=[50], logprob=-1.8048584), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-9.554858), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.929858), TopLogprob(token='Was', bytes=[87, 97, 115], logprob=-12.554858)])]"
3,nonIC,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.2519911, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.2519911), TopLogprob(token='1', bytes=[49], logprob=-1.501991), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.501991), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.626991), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-13.251991)])]"
4,IC,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.03812262, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.03812262), TopLogprob(token='1', bytes=[49], logprob=-3.2881227), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.038122), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.413122), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.538122)])]"
4,nonIC,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2) has.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.00360684, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.00360684), TopLogprob(token='1', bytes=[49], logprob=-5.628607), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-12.753607), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-13.128607), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-13.378607)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.47533098, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.47533098), TopLogprob(token='<|end|>', bytes=None, logprob=-0.97533095), TopLogprob(token='.', bytes=[46], logprob=-6.725331), TopLogprob(token='<|end|>', bytes=None, logprob=-10.475331), TopLogprob(token=').', bytes=[41, 46], logprob=-11.975331)]), ChatCompletionTokenLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-3.1281633e-07, top_logprobs=[TopLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-3.1281633e-07), TopLogprob(token='\thas', bytes=[9, 104, 97, 115], logprob=-15.5), TopLogprob(token=' ', bytes=[32], logprob=-16.75), TopLogprob(token=' Has', bytes=[32, 72, 97, 115], logprob=-17.25), TopLogprob(token='has', bytes=[104, 97, 115], logprob=-18.25)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.011048643, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.011048643), TopLogprob(token='<|end|>', bytes=None, logprob=-4.511049), TopLogprob(token='<|end|>', bytes=None, logprob=-15.261048), TopLogprob(token='.\n', bytes=[46, 10], logprob=-15.761048), TopLogprob(token='.""', bytes=[46, 34], logprob=-15.761048)])]"
5,IC,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.048688766, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.048688766), TopLogprob(token='1', bytes=[49], logprob=-3.0486887), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.423689), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.548689), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.548689)])]"
5,nonIC,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2) has.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.17982519, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.17982519), TopLogprob(token='1', bytes=[49], logprob=-1.8048252), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.304825), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.679825), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.054825)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.5768576, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.5768576), TopLogprob(token='<|end|>', bytes=None, logprob=-0.8268576), TopLogprob(token='.', bytes=[46], logprob=-7.0768576), TopLogprob(token='<|end|>', bytes=None, logprob=-10.326858), TopLogprob(token=').', bytes=[41, 46], logprob=-11.326858)]), ChatCompletionTokenLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-3.1281633e-07, top_logprobs=[TopLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-3.1281633e-07), TopLogprob(token='\thas', bytes=[9, 104, 97, 115], logprob=-15.625), TopLogprob(token=' ', bytes=[32], logprob=-18.0), TopLogprob(token='has', bytes=[104, 97, 115], logprob=-18.625), TopLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-18.75)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.004079113, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.004079113), TopLogprob(token='<|end|>', bytes=None, logprob=-5.5040793), TopLogprob(token='.""', bytes=[46, 34], logprob=-15.504079), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-15.754079), TopLogprob(token='.\n', bytes=[46, 10], logprob=-15.754079)])]"
