sent_id,item_id,verb,sentence_type,np_order,target,option_1,option_2,answer_option,prompt_1,prompt_2,prompt,answer,raw_probs
1,1,scold,IC,high_sg,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ",Answer: 1) was,"[ChatCompletionTokenLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-0.6791228, top_logprobs=[TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-0.6791228), TopLogprob(token='1', bytes=[49], logprob=-1.5787753), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.8713683), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.257719), TopLogprob(token='2', bytes=[50], logprob=-3.9161701)]), ChatCompletionTokenLogprob(token=':', bytes=[58], logprob=-1.27099975e-05, top_logprobs=[TopLogprob(token=':', bytes=[58], logprob=-1.27099975e-05), TopLogprob(token=' ', bytes=[32], logprob=-11.364509), TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-14.445489), TopLogprob(token=' :', bytes=[32, 58], logprob=-15.178355), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-16.745665)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.00050859177, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.00050859177), TopLogprob(token=' \n\n', bytes=[32, 10, 10], logprob=-8.199349), TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-9.640851), TopLogprob(token=' \n', bytes=[32, 10], logprob=-10.086158), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-10.357165)]), ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.002847433, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.002847433), TopLogprob(token='2', bytes=[50], logprob=-5.9111805), TopLogprob(token=' ', bytes=[32], logprob=-8.949276), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-13.171612), TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-13.949944)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.0010281658, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.0010281658), TopLogprob(token='<|end|>', bytes=None, logprob=-7.1819077), TopLogprob(token=' (', bytes=[32, 40], logprob=-8.949747), TopLogprob(token='.', bytes=[46], logprob=-9.239634), TopLogprob(token=' -', bytes=[32, 45], logprob=-11.4085045)]), ChatCompletionTokenLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-0.0001942425, top_logprobs=[TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-0.0001942425), TopLogprob(token=' Anna', bytes=[32, 65, 110, 110, 97], logprob=-9.287603), TopLogprob(token=' ', bytes=[32], logprob=-9.76194), TopLogprob(token=' ""', bytes=[32, 34], logprob=-10.320892), TopLogprob(token='was', bytes=[119, 97, 115], logprob=-12.720551)])]"
2,1,study,nonIC,high_sg,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.46522427, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.46522427), TopLogprob(token='1', bytes=[49], logprob=-1.9954195), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.2647257), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.6905165), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-2.8524466)])]"
3,2,stare,IC,high_sg,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.6551912, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.6551912), TopLogprob(token='2', bytes=[50], logprob=-1.6451681), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-2.236923), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.2387102), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.766157)])]"
4,2,live,nonIC,high_sg,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.45256263, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.45256263), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.4188063), TopLogprob(token='2', bytes=[50], logprob=-2.9910033), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-3.2916987), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-3.4241679)])]"
5,3,assist,IC,high_sg,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ",Answer: 1) was,"[ChatCompletionTokenLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-0.48727697, top_logprobs=[TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-0.48727697), TopLogprob(token='1', bytes=[49], logprob=-1.3280745), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.7434893), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.9977674), TopLogprob(token='2', bytes=[50], logprob=-5.4172335)]), ChatCompletionTokenLogprob(token=':', bytes=[58], logprob=-3.2929079e-06, top_logprobs=[TopLogprob(token=':', bytes=[58], logprob=-3.2929079e-06), TopLogprob(token=' ', bytes=[32], logprob=-12.822913), TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-15.198535), TopLogprob(token=' :', bytes=[32, 58], logprob=-15.528966), TopLogprob(token=':\n', bytes=[58, 10], logprob=-17.213758)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.000662161, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.000662161), TopLogprob(token=' \n\n', bytes=[32, 10, 10], logprob=-7.7902837), TopLogprob(token=' \n', bytes=[32, 10], logprob=-9.368841), TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-10.032593), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-10.403614)]), ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.0009436229, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.0009436229), TopLogprob(token='2', bytes=[50], logprob=-7.335119), TopLogprob(token=' ', bytes=[32], logprob=-8.15801), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-12.8663435), TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-14.288135)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.0016135313, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.0016135313), TopLogprob(token='<|end|>', bytes=None, logprob=-6.722004), TopLogprob(token=' (', bytes=[32, 40], logprob=-8.489122), TopLogprob(token='.', bytes=[46], logprob=-8.7531595), TopLogprob(token=' -', bytes=[32, 45], logprob=-11.302485)]), ChatCompletionTokenLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-0.00034893217, top_logprobs=[TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-0.00034893217), TopLogprob(token=' ', bytes=[32], logprob=-9.043587), TopLogprob(token=' Jenny', bytes=[32, 74, 101, 110, 110, 121], logprob=-9.157919), TopLogprob(token=' ""', bytes=[32, 34], logprob=-9.309309), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-11.730637)])]"
6,3,joke,nonIC,high_sg,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.2741128, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.2741128), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-1.3218938), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.3655435), TopLogprob(token='1', bytes=[49], logprob=-2.180811), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.5849228)])]"
7,4,trust,IC,high_sg,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ",The correct answer is 2) has.,"[ChatCompletionTokenLogprob(token='The', bytes=[84, 104, 101], logprob=-0.85234785, top_logprobs=[TopLogprob(token='The', bytes=[84, 104, 101], logprob=-0.85234785), TopLogprob(token='1', bytes=[49], logprob=-1.8294272), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-1.9445224), TopLogprob(token='2', bytes=[50], logprob=-2.007997), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-2.135038)]), ChatCompletionTokenLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.0028414913, top_logprobs=[TopLogprob(token=' correct', bytes=[32, 99, 111, 114, 114, 101, 99, 116], logprob=-0.0028414913), TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-6.7765803), TopLogprob(token=' best', bytes=[32, 98, 101, 115, 116], logprob=-6.896335), TopLogprob(token=' sentence', bytes=[32, 115, 101, 110, 116, 101, 110, 99, 101], logprob=-7.34605), TopLogprob(token=' gramm', bytes=[32, 103, 114, 97, 109, 109], logprob=-11.399424)]), ChatCompletionTokenLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.034618407, top_logprobs=[TopLogprob(token=' answer', bytes=[32, 97, 110, 115, 119, 101, 114], logprob=-0.034618407), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-3.4092293), TopLogprob(token=' response', bytes=[32, 114, 101, 115, 112, 111, 110, 115, 101], logprob=-7.914568), TopLogprob(token=' choice', bytes=[32, 99, 104, 111, 105, 99, 101], logprob=-7.964142), TopLogprob(token=' Answer', bytes=[32, 65, 110, 115, 119, 101, 114], logprob=-8.830193)]), ChatCompletionTokenLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0021632293, top_logprobs=[TopLogprob(token=' is', bytes=[32, 105, 115], logprob=-0.0021632293), TopLogprob(token=' would', bytes=[32, 119, 111, 117, 108, 100], logprob=-6.664105), TopLogprob(token=' in', bytes=[32, 105, 110], logprob=-8.044226), TopLogprob(token=' based', bytes=[32, 98, 97, 115, 101, 100], logprob=-8.440075), TopLogprob(token=' to', bytes=[32, 116, 111], logprob=-8.646357)]), ChatCompletionTokenLogprob(token=' ', bytes=[32], logprob=-0.17080745, top_logprobs=[TopLogprob(token=' ', bytes=[32], logprob=-0.17080745), TopLogprob(token=':', bytes=[58], logprob=-1.991263), TopLogprob(token=' ""', bytes=[32, 34], logprob=-5.1297193), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-5.385529), TopLogprob(token=' option', bytes=[32, 111, 112, 116, 105, 111, 110], logprob=-5.428971)]), ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.21841098, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.21841098), TopLogprob(token='1', bytes=[49], logprob=-1.6291242), TopLogprob(token=' ', bytes=[32], logprob=-9.316752), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-12.159583), TopLogprob(token=' ""', bytes=[32, 34], logprob=-13.257995)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.00013965457, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.00013965457), TopLogprob(token='.', bytes=[46], logprob=-9.126402), TopLogprob(token=':', bytes=[58], logprob=-11.370844), TopLogprob(token=' -', bytes=[32, 45], logprob=-11.939949), TopLogprob(token=',', bytes=[44], logprob=-12.693111)]), ChatCompletionTokenLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-0.00030209616, top_logprobs=[TopLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-0.00030209616), TopLogprob(token=' ""', bytes=[32, 34], logprob=-8.247722), TopLogprob(token=' ', bytes=[32], logprob=-11.355697), TopLogprob(token=' Nick', bytes=[32, 78, 105, 99, 107], logprob=-11.912175), TopLogprob(token=' **', bytes=[32, 42, 42], logprob=-12.184354)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.005609135, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.005609135), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-5.509357), TopLogprob(token='.\n', bytes=[46, 10], logprob=-6.612783), TopLogprob(token=' -', bytes=[32, 45], logprob=-9.435076), TopLogprob(token=',', bytes=[44], logprob=-9.7315235)])]"
8,4,stand,nonIC,high_sg,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-1.0615665, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-1.0615665), TopLogprob(token='1', bytes=[49], logprob=-1.0706455), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-1.7569762), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.408145), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-3.3674955)])]"
9,5,correct,IC,high_sg,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.0931449, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.0931449), TopLogprob(token='2', bytes=[50], logprob=-1.405313), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-1.5052238), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.277452), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.7252593)])]"
10,5,gossip,nonIC,high_sg,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.4601478, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.4601478), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-2.0608883), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-2.4089622), TopLogprob(token='1', bytes=[49], logprob=-2.5873718), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-3.0546913)])]"
