sent_id,item_id,verb,sentence_type,np_order,target,option_1,option_2,answer_option,prompt_1,prompt_2,prompt,answer,raw_probs
1,1,scold,IC,high_sg,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-5.5122365e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-5.5122365e-07), TopLogprob(token='2', bytes=[50], logprob=-14.903626), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.709444), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.383457), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.50875)])]"
2,1,study,nonIC,high_sg,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.1514165, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.1514165), TopLogprob(token='2', bytes=[50], logprob=-1.9624746), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.749302), TopLogprob(token='(', bytes=[40], logprob=-20.727835), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-20.777306)])]"
3,2,stare,IC,high_sg,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0076332474, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0076332474), TopLogprob(token='1', bytes=[49], logprob=-4.8790627), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.25925), TopLogprob(token='(', bytes=[40], logprob=-18.479792), TopLogprob(token='Was', bytes=[87, 97, 115], logprob=-19.30378)])]"
4,2,live,nonIC,high_sg,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-3.1281633e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-3.1281633e-07), TopLogprob(token='2', bytes=[50], logprob=-16.194508), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.939926), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-16.978737), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.661762)])]"
5,3,assist,IC,high_sg,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.14077525, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.14077525), TopLogprob(token='2', bytes=[50], logprob=-2.0301528), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.345034), TopLogprob(token=' ', bytes=[32], logprob=-19.579266), TopLogprob(token='(', bytes=[40], logprob=-19.95388)])]"
6,3,joke,nonIC,high_sg,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-6.0749073e-05, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-6.0749073e-05), TopLogprob(token='2', bytes=[50], logprob=-9.710829), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.859047), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-18.2557), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.986702)])]"
7,4,trust,IC,high_sg,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.00029327508, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.00029327508), TopLogprob(token='1', bytes=[49], logprob=-8.134567), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.009138), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-19.728893), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.827831)])]"
8,4,stand,nonIC,high_sg,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.13028063, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.13028063), TopLogprob(token='1', bytes=[49], logprob=-2.1024983), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-18.54936), TopLogprob(token=' ', bytes=[32], logprob=-20.25671), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-20.391134)])]"
9,5,correct,IC,high_sg,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0035434053, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0035434053), TopLogprob(token='1', bytes=[49], logprob=-5.644424), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.253761), TopLogprob(token='(', bytes=[40], logprob=-19.819574), TopLogprob(token=' ', bytes=[32], logprob=-19.828516)])]"
10,5,gossip,nonIC,high_sg,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.19779372, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.19779372), TopLogprob(token='2', bytes=[50], logprob=-1.717798), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.74134), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-19.50709), TopLogprob(token='has', bytes=[104, 97, 115], logprob=-19.56151)])]"
11,6,comfort,IC,high_sg,Bob comforted the leader of the activists who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Bob comforted the leader of the activists who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Bob comforted the leader of the activists who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Bob comforted the leader of the activists who ___ . Options: 1) were, 2) was. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.19485503, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.19485503), TopLogprob(token='1', bytes=[49], logprob=-1.7313464), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.59499), TopLogprob(token='(', bytes=[40], logprob=-18.72266), TopLogprob(token=' ', bytes=[32], logprob=-18.889366)])]"
12,6,greet,nonIC,high_sg,Bob greeted the leader of the activists who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Bob greeted the leader of the activists who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Bob greeted the leader of the activists who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Bob greeted the leader of the activists who ___ . Options: 1) was, 2) were. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-3.1281633e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-3.1281633e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.182116), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-16.404572), TopLogprob(token='2', bytes=[50], logprob=-16.708483), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.520897)])]"
