sent_id,item_id,verb,sentence_type,np_order,target,option_1,option_2,answer_option,prompt_1,prompt_2,prompt,answer,raw_probs
1,1,scold,IC,high_sg,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.6327081, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.6327081), TopLogprob(token='1', bytes=[49], logprob=-0.7577081), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-9.757708), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.007708), TopLogprob(token='Were', bytes=[87, 101, 114, 101], logprob=-13.632708)])]"
2,1,study,nonIC,high_sg,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.003675848, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.003675848), TopLogprob(token='1', bytes=[49], logprob=-5.628676), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.003675), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.753675), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.628675)])]"
3,2,stare,IC,high_sg,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.006736573, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.006736573), TopLogprob(token='1', bytes=[49], logprob=-5.0067368), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.131737), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-12.131737), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-15.006737)])]"
4,2,live,nonIC,high_sg,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.20213342, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.20213342), TopLogprob(token='2', bytes=[50], logprob=-1.7021334), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-7.827133), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-8.577133), TopLogprob(token='was', bytes=[119, 97, 115], logprob=-10.077133)])]"
5,3,assist,IC,high_sg,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.63274896, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.63274896), TopLogprob(token='2', bytes=[50], logprob=-0.75774896), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-9.257749), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.632749), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.757749)])]"
6,3,joke,nonIC,high_sg,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.08915125, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.08915125), TopLogprob(token='2', bytes=[50], logprob=-2.4641511), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-8.839151), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.839151), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.839151)])]"
7,4,trust,IC,high_sg,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ",2) has.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.029789137, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.029789137), TopLogprob(token='1', bytes=[49], logprob=-3.5297892), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.529789), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-12.029789), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.529789)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.47738957, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.47738957), TopLogprob(token='<|end|>', bytes=None, logprob=-0.9773896), TopLogprob(token='.', bytes=[46], logprob=-5.7273893), TopLogprob(token='<|end|>', bytes=None, logprob=-10.977389), TopLogprob(token=').', bytes=[41, 46], logprob=-11.477389)]), ChatCompletionTokenLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-6.704273e-07, top_logprobs=[TopLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-6.704273e-07), TopLogprob(token=' Has', bytes=[32, 72, 97, 115], logprob=-15.250001), TopLogprob(token=' ', bytes=[32], logprob=-15.500001), TopLogprob(token='\thas', bytes=[9, 104, 97, 115], logprob=-15.750001), TopLogprob(token='has', bytes=[104, 97, 115], logprob=-18.5)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.008615515, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.008615515), TopLogprob(token='<|end|>', bytes=None, logprob=-4.7586155), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-15.2586155), TopLogprob(token='.\n', bytes=[46, 10], logprob=-15.2586155), TopLogprob(token='.""', bytes=[46, 34], logprob=-15.5086155)])]"
8,4,stand,nonIC,high_sg,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ",2) have.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.016092908, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.016092908), TopLogprob(token='1', bytes=[49], logprob=-4.141093), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.266093), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.891093), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.266093)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.31511834, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.31511834), TopLogprob(token='<|end|>', bytes=None, logprob=-1.3151183), TopLogprob(token='.', bytes=[46], logprob=-6.3151183), TopLogprob(token='<|end|>', bytes=None, logprob=-10.815119), TopLogprob(token=').', bytes=[41, 46], logprob=-11.565119)]), ChatCompletionTokenLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-4.3202e-07, top_logprobs=[TopLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-4.3202e-07), TopLogprob(token=' ', bytes=[32], logprob=-15.25), TopLogprob(token=' Have', bytes=[32, 72, 97, 118, 101], logprob=-16.125), TopLogprob(token='have', bytes=[104, 97, 118, 101], logprob=-17.75), TopLogprob(token='_have', bytes=[95, 104, 97, 118, 101], logprob=-18.25)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0024763737, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0024763737), TopLogprob(token='<|end|>', bytes=None, logprob=-6.002476), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-15.002477), TopLogprob(token='.\n', bytes=[46, 10], logprob=-16.002476), TopLogprob(token='.""', bytes=[46, 34], logprob=-16.752476)])]"
9,5,correct,IC,high_sg,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.029790299, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.029790299), TopLogprob(token='1', bytes=[49], logprob=-3.5297904), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.90479), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.40479), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.77979)])]"
10,5,gossip,nonIC,high_sg,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.2014566, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.2014566), TopLogprob(token='1', bytes=[49], logprob=-1.7014565), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.826457), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.201457), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.701457)])]"
