item_id,sentence_type,verb_type,target,question,prompt
1,IC,IC_High,Anna scolded the chef who was routinely letting food go to waste.,"Does this sentence explain why Anna scolded the chef? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Anna scolded the chef who was routinely letting food go to waste. Question: Does this sentence explain why Anna scolded the chef? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
1,IC,IC_Low,Anna scolded the aristocrats who were routinely letting food go to waste.,"Does this sentence explain why Anna scolded the aristocrats? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Anna scolded the aristocrats who were routinely letting food go to waste. Question: Does this sentence explain why Anna scolded the aristocrats? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
1,nonIC,nonIC_High,Anna studied with the chef who was routinely letting food go to waste.,"Does this sentence explain why Anna studied with the chef? If yes,  please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Anna studied with the chef who was routinely letting food go to waste. Question: Does this sentence explain why Anna studied with the chef? If yes,  please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
1,nonIC,nonIC_Low,Anna studied with the aristocrats who were routinely letting food go to waste.,"Does this sentence explain why Anna studied with the aristocrats? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Anna studied with the aristocrats who were routinely letting food go to waste. Question: Does this sentence explain why Anna studied with the aristocrats? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
2,IC,IC_High,John stared at the teacher who was definitely smartest in the school.,"Does this sentence asnwer why John stared at the teacher? If yes, please provide an explanation. If not, you don't need an explanation.","Sentence: John stared at the teacher who was definitely smartest in the school. Question: Does this sentence asnwer why John stared at the teacher? If yes, please provide an explanation. If not, you don't need an explanation. Answer: "
2,IC,IC_Low,John stared at the second graders who were definitely smartest in the school.,"Does this sentence explain why John stared at the second graders? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: John stared at the second graders who were definitely smartest in the school. Question: Does this sentence explain why John stared at the second graders? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
2,nonIC,nonIC_High,John lived next to the teacher who was definitely smartest in the school.,"Does this sentence explain why John lived next to the teacher? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: John lived next to the teacher who was definitely smartest in the school. Question: Does this sentence explain why John lived next to the teacher? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
2,nonIC,nonIC_Low,John lived next to the second graders who were definitely smartest in the school.,"Does this sentence explain why John lived next to the second graders? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: John lived next to the second graders who were definitely smartest in the school. Question: Does this sentence explain why John lived next to the second graders? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
3,IC,IC_High,Jenny assisted the maid who was regularly late to work.,"Does this sentence explain why Jenny assisted the maid? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jenny assisted the maid who was regularly late to work. Question: Does this sentence explain why Jenny assisted the maid? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
3,IC,IC_Low,Jenny assisted the executives who were regularly late to work.,"Does this sentence explain why Jenny assisted the executives? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jenny assisted the executives who were regularly late to work. Question: Does this sentence explain why Jenny assisted the executives? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
3,nonIC,nonIC_High,Jenny joked with the maid who was regularly late to work.,"Does this sentence explain why Jenny joked with the maid? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jenny joked with the maid who was regularly late to work. Question: Does this sentence explain why Jenny joked with the maid? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
3,nonIC,nonIC_Low,Jenny joked with the executives who were regularly late to work.,"Does this sentence explain why Jenny joked with the executives? If yes, please provide an explanation. If not, just say no and you don't need an explanation.","Sentence: Jenny joked with the executives who were regularly late to work. Question: Does this sentence explain why Jenny joked with the executives? If yes, please provide an explanation. If not, just say no and you don't need an explanation. Answer: "
