sent_id,item_id,verb,sentence_type,np_order,target,option_1,option_2,answer_option,prompt_1,prompt_2,prompt
1,1,scold,IC,high_sg,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: "
2,1,study,nonIC,high_sg,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: "
3,2,stare,IC,high_sg,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: "
4,2,live,nonIC,high_sg,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: "
5,3,assist,IC,high_sg,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: "
6,3,joke,nonIC,high_sg,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: "
7,4,trust,IC,high_sg,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: "
8,4,stand,nonIC,high_sg,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: "
9,5,correct,IC,high_sg,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: "
10,5,gossip,nonIC,high_sg,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: "
